filename,water_top_y,water_bottom_y,silt_top_y,silt_base,pred_pixel,pred_volume
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_10_0.jpg,319,1231,525,550.0,528,549.55
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_11_0.jpg,319,1227,558,500.0,558,495.32
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_12_0.jpg,329,1233,591,450.0,593,451.88
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_13_0.jpg,327,1233,618,400.0,617,411.76
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_14_0.jpg,324,1236,658,350.0,656,353.1
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_15_0.jpg,317,1227,678,300.0,673,319.36
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_16_0.jpg,326,1234,729,250.0,724,265.35
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_17_0.jpg,322,1229,772,200.0,758,221.54
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_18_0.jpg,315,1225,818,150.0,808,166.16
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_19_0.jpg,313,1218,872,100.0,865,114.71
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_1_0.jpg,319,1232,320,1000.0,331,970.03
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_20_0.jpg,322,1236,907,100.0,894,104.25
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_21_0.jpg,323,1225,917,90.0,905,92.23
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_22_0.jpg,306,1216,926,80.0,915,78.51
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_23_0.jpg,309,1215,950,70.0,934,67.71
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_24_0.jpg,310,1215,971,60.0,950,59.32
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_25_0.jpg,311,1216,987,50.0,976,47.23
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_26_0.jpg,322,1218,1014,40.0,1001,38.33
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_27_0.jpg,311,1215,1044,30.0,1024,28.0
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_28_0.jpg,328,1228,1072,20.0,1059,21.35
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_29_0.jpg,327,1225,1107,10.0,1091,12.58
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_2_0.jpg,310,1223,336,950.0,339,928.45
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_30_0.jpg,329,1223,1144,5.0,1134,4.96
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_3_0.jpg,323,1233,362,900.0,368,889.9
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_4_0.jpg,320,1225,381,850.0,385,842.46
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_5_0.jpg,315,1221,391,800.0,400,797.25
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_6_0.jpg,322,1232,433,750.0,435,737.16
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_7_0.jpg,319,1228,451,700.0,456,686.79
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_8_0.jpg,314,1225,470,650.0,473,643.29
LINE_ALBUM_ปริมาณตะกอนที่ปริมาตรต่างๆ_260505_9_0.jpg,319,1229,502,600.0,507,587.27
